Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2018-01-02,40.341880798339844,40.35125047209825,39.63930535276698,39.850080130528944,102223600
2018-01-03,40.334861755371094,40.87818856844172,40.27163252810483,40.40512002581769,118071600
2018-01-04,40.522216796875,40.625261785880404,40.299735247059225,40.407461500303675,89738400
2018-01-05,40.98357391357422,41.070223754905165,40.526900518948345,40.61823519787352,94640000
2018-01-08,40.831356048583984,41.126436533395285,40.73299231349569,40.831356048583984,82271200
2018-01-09,40.8266716003418,40.997630675227676,40.61121549570155,40.87819410074322,86336000
2018-01-10,40.81729507446289,40.81963927994158,40.515189166880944,40.552660719700334,95839600
2018-01-11,41.04914474487305,41.0983266027859,40.86413476669079,40.887551806210006,74670800
2018-01-12,41.47303771972656,41.53627052568865,41.13580085257462,41.25992225875077,101672400
2018-01-16,41.26225662231445,42.01166971862735,41.250546316820724,41.66272262642194,118263600
2018-01-17,41.94377136230469,41.978898718449194,40.99997827671709,41.252902387927264,137547200
2018-01-18,41.981231689453125,42.17795556841482,41.7446991964493,42.006992937085954,124773600
2018-01-19,41.79388427734375,42.056178038174856,41.54798208982235,41.82901162978203,129700400
2018-01-22,41.451961517333984,41.63463089237908,41.358286197536025,41.52221979392465,108434400
2018-01-23,41.46132278442383,42.023385358113266,41.409803865982504,41.5222149513268,130756400
2018-01-24,40.800907135009766,41.52221851030546,40.5620304313799,41.510508202321624,204420400
2018-01-25,40.072574615478516,40.9718706193614,39.93674288986839,40.86882561555477,166116000
2018-01-26,40.166255950927734,40.28101128114847,39.82667837284765,40.28101128114847,156572000
2018-01-29,39.334861755371094,39.850083072126374,39.126431167404846,39.850083072126374,202561600
2018-01-30,39.103023529052734,39.196698863731754,38.571406892362646,38.765786606632325,184192800
2018-01-31,39.21075439453125,39.447290538522424,38.99295760785047,39.07960748124148,129915600
2018-02-01,39.2927131652832,39.48943348596959,39.05383644817289,39.149855976180945,188923200
2018-02-02,37.58778381347656,39.06319286477697,37.49410852308551,38.87583871051159,346375200
2018-02-05,36.64867401123047,38.37935117314193,36.53391874921812,37.259914717858635,290954000
2018-02-06,38.1802978515625,38.34189080334102,36.06554568586119,36.25992535441477,272975200
2018-02-07,37.362953186035156,38.26693355567184,37.25288634240934,38.19433467917101,206434400
2018-02-08,36.33485412597656,37.704877501866164,36.30675225520403,37.538599761668245,217562000
2018-02-09,36.77928924560547,37.12730529106897,35.32843481182689,36.93448689935861,282690400
2018-02-12,38.26072692871094,38.53819835445637,37.037961033131694,37.27075759307828,243278000
2018-02-13,38.64399719238281,38.74040817400925,38.01145216920126,38.081996877417026,130196800
2018-02-14,39.35650634765625,39.3964808604744,38.3006998452042,38.33832059440969,162579600
2018-02-15,40.67802047729492,40.70153298957986,39.73978404743447,39.925548323114,204588800
2018-02-16,40.546348571777344,41.108352696021626,40.39115445827603,40.52989016661168,160704400
2018-02-20,40.40995407104492,40.976654782310895,40.308839143672124,40.45698268440411,135722000
2018-02-21,40.226539611816406,40.9437340323257,40.212427798685475,40.64039642899439,149886400
2018-02-22,40.56280517578125,40.90376716834371,40.377040864154694,40.39820320572218,123967600
2018-02-23,41.26823806762695,41.30350863075407,40.80734904379779,40.8379192572101,135249600
2018-02-26,42.084197998046875,42.18295916461196,41.435194508596325,41.46811489745136,152648800
2018-02-27,41.947811126708984,42.43926676848997,41.89372840137815,42.114766828451785,155712400
2018-02-28,41.884334564208984,42.47220139152184,41.867876158832495,42.15240169394147,151128400
2018-03-01,41.150672912597656,42.27467386282315,40.600430490213576,41.98309066020018,195208000
